"","Acarosporaceae","Baeomycetaceae","Caliciaceae","Candelariaceae","Chrysotrichaceae","Graphidaceae","Hymeneliaceae","Lecideaceae","Lichinaceae","Parmeliaceae","Peltigeraceae","Rhizocarpaceae","Sarrameanaceae","Strigulaceae","Teloschistaceae","Trypetheliaceae","Umbilicariaceae","Variolariaceae","Verrucariaceae"
"Acarosporaceae",0.156666666666667,0.0188888888888889,0.101111111111111,0,0,0,0.108888888888889,0.0344444444444444,0.102222222222222,0,0,0.104444444444444,0,0.0111111111111111,0.0311111111111111,0,0,0.0111111111111111,0.0622222222222222
"Baeomycetaceae",0.0144444444444444,0.075,0.00555555555555556,0,0,0.02,0.0416666666666667,0,0.0272222222222222,0,0,0.0194444444444444,0.0477777777777778,0.015,0.0216666666666667,0.015,0,0.0261111111111111,0.00944444444444444
"Caliciaceae",0.0272222222222222,0,0.0488888888888889,0,0,0,0.00555555555555556,0.0216666666666667,0,0,0,0.0294444444444444,0,0,0,0,0,0,0.0183333333333333
"Candelariaceae",0.00555555555555556,0,0,0.0511111111111111,0.00555555555555556,0,0,0.00555555555555556,0,0,0,0.0322222222222222,0,0.00777777777777778,0,0.00555555555555556,0,0.0261111111111111,0
"Chrysotrichaceae",0,0,0,0.048,0.0686666666666667,0,0,0,0,0,0,0,0,0.0486666666666667,0,0,0,0,0
"Graphidaceae",0,0,0,0,0,0.0561538461538462,0,0,0,0,0,0,0,0.0569230769230769,0,0.00769230769230769,0,0,0
"Hymeneliaceae",0.0573333333333333,0.0213333333333333,0,0,0,0,0.0993333333333333,0.00666666666666667,0.0513333333333333,0.018,0,0.0453333333333333,0,0,0.0446666666666667,0,0,0.022,0.0366666666666667
"Lecideaceae",0.0184615384615385,0,0,0,0,0,0,0.0307692307692308,0.0169230769230769,0,0,0.0153846153846154,0,0,0.0169230769230769,0,0,0,0
"Lichinaceae",0.0414285714285714,0,0,0,0,0,0.0142857142857143,0,0.06,0,0,0,0,0.0428571428571429,0,0,0,0,0
"Parmeliaceae",0.0027027027027027,0,0,0.00324324324324324,0,0.00324324324324324,0,0,0.00324324324324324,0.00918918918918919,0,0.005,0.00391891891891892,0,0.0022972972972973,0,0.00391891891891892,0.00189189189189189,0.00135135135135135
"Peltigeraceae",0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.005,0,0.005
"Rhizocarpaceae",0,0,0,0,0,0,0.02125,0,0,0,0,0.02125,0,0,0,0,0,0,0
"Sarrameanaceae",0.025,0,0.0125,0.018125,0.018125,0,0,0.01625,0.031875,0,0,0.00625,0.06375,0.015,0.0125,0,0,0.034375,0
"Strigulaceae",0,0,0.00714285714285714,0,0,0,0,0,0,0,0,0,0,0.0292857142857143,0,0.0242857142857143,0,0,0.0185714285714286
"Teloschistaceae",0.00777777777777778,0.00555555555555556,0,0,0,0.00555555555555556,0.065,0.00777777777777778,0,0,0,0.0111111111111111,0,0,0.0838888888888889,0.0172222222222222,0,0,0.0627777777777778
"Trypetheliaceae",0,0,0,0,0,0.00608695652173913,0,0,0,0,0,0,0,0.00869565217391304,0,0.0104347826086957,0,0,0
"Umbilicariaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714285714285714,0,0.00714285714285714,0,0
"Variolariaceae",0.0205263157894737,0,0,0,0,0,0,0,0.0215789473684211,0,0,0,0.0126315789473684,0,0.0142105263157895,0,0,0.0347368421052632,0
"Verrucariaceae",0.0366666666666667,0,0,0,0,0.00933333333333333,0.02,0.0326666666666667,0.0346666666666667,0,0,0.038,0,0,0.00933333333333333,0,0,0,0.0773333333333333
