"","Acarosporales","Arthoniales","Baeomycetales","Candelariales","Lecanorales","Lecideales","Lichinales","Ostropales","Peltigerales","Pertusariales","Rhizocarpales","Strigulales","Teloschistales","Trypetheliales","Umbilicariales","Verrucariales"
"Acarosporales",0.154444444444444,0,0.0288888888888889,0,0.0188888888888889,0.04,0.0966666666666667,0,0,0.0244444444444444,0.108888888888889,0,0.0711111111111111,0,0,0.106666666666667
"Arthoniales",0,0.0573333333333333,0,0.0293333333333333,0,0,0,0,0,0,0,0.0526666666666667,0,0,0,0
"Baeomycetales",0.02,0,0.0661111111111111,0.00944444444444444,0.00555555555555556,0,0.0433333333333333,0.0133333333333333,0,0.03,0.0172222222222222,0.00555555555555556,0.00555555555555556,0.0211111111111111,0,0.0166666666666667
"Candelariales",0.00777777777777778,0.0122222222222222,0,0.0511111111111111,0,0,0,0,0,0.025,0.0366666666666667,0.0133333333333333,0,0,0,0
"Lecanorales",0.0223364485981308,0.00242990654205607,0.0176635514018692,0.00803738317757009,0.0322429906542056,0.00925233644859813,0.014018691588785,0.00186915887850467,0.00242990654205607,0.0176635514018692,0.00962616822429907,0.0085981308411215,0.0185046728971963,0.00280373831775701,0.00308411214953271,0.00457943925233645
"Lecideales",0.0261538461538462,0,0.00769230769230769,0,0,0.0346153846153846,0.0184615384615385,0,0,0,0.0184615384615385,0,0.00769230769230769,0,0,0
"Lichinales",0.0585714285714286,0,0,0,0,0,0.0585714285714286,0,0,0,0,0,0,0,0,0
"Ostropales",0,0,0,0,0,0,0,0.0623076923076923,0,0,0,0.0592307692307692,0,0.0230769230769231,0,0
"Peltigerales",0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0.007,0.0085
"Pertusariales",0.0205263157894737,0,0,0,0,0,0.0252631578947368,0,0,0.0352631578947368,0,0,0,0,0,0
"Rhizocarpales",0.00875,0,0,0,0,0,0,0,0,0,0.00875,0,0,0,0,0
"Strigulales",0,0,0,0.00714285714285714,0,0,0,0.0121428571428571,0,0,0,0.0307142857142857,0,0.0171428571428571,0,0.025
"Teloschistales",0.0138888888888889,0.00805555555555556,0.0130555555555556,0,0.0111111111111111,0.0261111111111111,0,0,0,0.00611111111111111,0.035,0,0.0688888888888889,0.0122222222222222,0,0.0469444444444444
"Trypetheliales",0,0,0,0,0,0,0,0.00869565217391304,0,0,0,0,0,0.00869565217391304,0,0
"Umbilicariales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucariales",0.028,0,0,0,0,0.0206666666666667,0.0386666666666667,0,0,0,0.0293333333333333,0,0,0,0,0.0593333333333333
