"","uniqueNames","l"
"1","Acarosporaceae","8"
"2","Baeomycetaceae","15"
"3","Teloschistaceae","15"
"4","Candelariaceae","16"
"5","Chrysotrichaceae","13"
"6","Caliciaceae","15"
"7","Lichinaceae","6"
"8","Parmeliaceae","60"
"9","Graphidaceae","11"
"10","Hymeneliaceae","13"
"11","Lecideaceae","11"
"12","Sarrameanaceae","14"
"13","Variolariaceae","16"
"14","Rhizocarpaceae","14"
"15","Strigulaceae","12"
"16","Trypetheliaceae","20"
"17","Umbilicariaceae","12"
"18","Verrucariaceae","13"
"19","Peltigeraceae","17"
